SMILES,PUBCHEM_ACTIVITY_OUTCOME
CCCN(CCC)C1CCC2=C(C1)C=C(C=C2)O.Br,1
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)C4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O,1
CCCN1CCC2=C3[C@H]1CC4=C(C3=CC(=C2)O)C(=C(C=C4)O)O.O.Br,1
CCCN1CCC[C@H]2[C@H]1CC3=C(C2)NN=C3.Cl,1
CCCCCCCC/C=C\CCCCCCCC(=O)NCCC1=CC(=C(C=C1)O)O,1
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC=CC=N4.Cl,1
C=CCN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.Br,1
CNC[C@@H](C1=CC(=C(C=C1)O)O)O.C(C(C(=O)O)O)(C(=O)O)O,1
CCCN(CCC1=CC=CC=C1)C2CCC3=C(C2)C=CC=C3O.Cl,1
CNCCC1=CC(=C(C=C1)O)O.Cl,1
CCCN1CCO[C@H]2[C@H]1COC3=C2C=C(C=C3)O.Cl,1
CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC.CS(=O)(=O)O,1
CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=C\C(=O)[O-])\C(=O)[O-],1
CN(C)[C@@H]1C2CC3CC4=C(C=CC(=C4C(=O)C3C(=O)[C@]2(C(=O)C(C1=O)C(=O)N)O)O)N(C)C.Cl,1
C1CC2=CC(=C(C=C2CC1N)O)O.Br,1
CN1CCC2=C3[C@H]1CC4=C(C3=CC(=C2)O)C(=C(C=C4)O)O.Br,1
C=CCN1CCC2=C(CC1)SC(=N2)N.Cl,1
C1C(C2=C(CN1)SC=C2)C3=CC(=C(C=C3)O)O.Br,1
C1=C(C(=CC(=C1O)O)F)C(CN)O.Cl,1
C=CCN1CCC2=C(C(=C(C=C2C(C1)C3=CC=CC=C3)O)O)Cl.Br,1
CS(=O)(=O)O.C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,1
CC1=C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)C,1
C1=CC(=C(C=C1[C@H](CN)O)O)O.C(C(C(=O)O)O)(C(=O)O)O.O,1
CCCN[C@H]1CCC2=C(C1)SC(=N2)N.Cl,1
C1CN(CCN1CC2=CC=C(C=C2)F)C3=NC=CC=N3,1
CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,1
C=CCN1CCC2=C(C(=C(C=C2[C@H](C1)C3=CC=CC=C3)O)O)Br.Br,1
CNCCC1=CNC2=C1C=C(C=C2)O.C(=O)(C(=O)O)O,1
C1=CC(=C(C=C1CCN)O)O.Cl,1
CCCN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.Cl,1
CNCC(C1=CC(=C(C=C1)O)O)O.Cl,1
CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,1
CC1=C(C=CC(=C1C)OC)CN2CCN(CC2)C3=NC=CC=N3,1
COC1=C(C2=CC=CC=C2C=C1)CN3CCN(CC3)C(=O)C4=CC=CO4.C(=O)(C(=O)O)O,1
CCOC1=CC=C(C=C1)CN2CCN(CC2)C(=O)C3=CC=CO3.C(=O)(C(=O)O)O,1
C=CCN=C1N(C(=CS1)C2=CC=CO2)/N=C/C3=C(C(=C(C=C3)O)O)O,1
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O,1
CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl,1
CCCN(CCC)[C@@H]1CCC2=C(C1)C(=CC=C2)O.Br,1
CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl,1
CCC1=CC=C(C=C1)CN2CCN(CC2)C(=O)C3=CC=CO3.C(=O)(C(=O)O)O,1
C1CN(CCN1CC2=CC3=C(C=C2O)OCO3)C4=NC=CC=N4,1
CCCN1CCC[C@@H](C1)C2=CC(=CC=C2)O.Cl,1
C1CN(CCN1CC2=CC=CC=C2F)C3=NC=CC=N3,1
COC1=CC(=CC(=C1)CN2CCN(CC2)C3=NC=CC=N3)OC,1
CC1=CC=C(C=C1)CN2CCN(CC2)C(=O)C3=CC=CO3,1
CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O.Cl,1
CC1=CC(=C(C=C1)CN2CCN(CC2)C3=NC=CC=N3)C,1
CC1=C(C=C(C=C1)NC(=O)CN2CCN(CC2)C3=CC=CC=N3)S(=O)(=O)N(C)C,1
C1CNCC=C1C2=CC(=C(C=C2)O)O.Cl,1
CC1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3C2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5CC6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O,1
C1CN(CCN1CC2=CC=C(C=C2)Cl)C3=NC=CC=N3,1
CC(=O)N1CCC2=C1C=CC(=C2)C(=O)CN3CCN(CC3)C4=CC=CC=N4,1
CN1C=C(N=C1C2=CC=C(C=C2)OCC(CNCCOC3=CC(=C(C=C3)O)C(=O)N)O)C(F)(F)F.CS(=O)(=O)O,1
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=CC=CC=N4,1
COC1=CC=CC(=C1)CN2CCN(CC2)C3=NC=CC=N3,1
CC(C)N1CCOC(C1)C2=CC(=C(C=C2)O)O.Cl,1
C1CN(CCN1CC2=CC(=CC=C2)F)C3=NC=CC=N3,1
CN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CO,1
C1CN(CCN1CC2=CC(=C(C=C2)Cl)Cl)C3=NC=CC=N3,1
C1CN(CCN1CC2=CC=CC=C2)C3=NNC(=N3)N,1
